,Name of the District,Headquarters,latitude,longitude,Population,Area,Density
0,Alluri Sitharama Raju,Paderu,18.0453386,82.74763088,953960,12251,77.87
1,Anakapalli,Anakapalli,17.67232035,82.77706408,1726998,4292,402.38
2,Anantapur,Anantapur,14.6546235,77.55625984,2241105,10205,219.61
3,Annamayya,Rayachoti,14.0629248,78.71843326,1697308,7954,213.39
4,Bapatla,Bapatla,15.9325935,80.38953423,1586918,3829,414.45
5,Chittoor,Chittoor,13.1601048,79.15555062,1872951,6855,273.22
6,Dr.B.R.Ambedkar Konaseema,Amalapuramu,16.64507405,82.08243228,1719093,2083,825.3
7,East Godavari,Rajahmahendravaram,17.3213,82.0407,1832332,2561,715.48
8,Eluru,Eluru,17.015219,81.08045423,2071700,6679,310.18
9,Guntur,Guntur,16.2915189,80.4541588,2091075,2443,855.95
10,Kakinada,Kakinada,17.1213126,82.1842248,2092374,3019,693.07
11,Krishna,Machilipatnam,16.1817369,81.1348181,1735079,3775,459.62
12,Kurnool,Kurnool,15.8309251,78.0425373,2271686,7980,284.67
13,Nandyal,Nandyala,18.2738775,77.515089,1781777,9682,184.03
14,NTR,Vijayawada,16.5087573,80.6185089,2218591,3316,669.06
15,Palnadu,Narasaraopeta,16.19990085,80.05576693,2041723,7298,279.76
16,Parvathipuram Manyam,Parvathipuram,18.7649439,83.34458763,925340,3659,252.89
17,Prakasam,Ongole,15.5075545,80.06080047,2288026,14322,159.76
18,Sri Potti Sriramulu Nellore,Nellore,14.4493717,79.9873763,2469712,10441,236.54
19,Sri Sathya Sai,Puttaparthi,14.1064568,77.82227506,1840043,8925,206.17
20,Srikakulam,Srikakulam,18.32002205,83.9160772,2191471,4591,477.34
21,Tirupati,Tirupati,13.77928955,79.83512262,2196984,8231,266.92
22,Visakhapatnam,Visakhapatnam,17.7231276,83.3012842,1959544,1048,1869.79
23,Vizianagaram,Vizianagaram,18.1120819,83.40521962,1930811,4122,468.42
24,West Godavari,Bhimavaram,16.5427689,81.527344,1779935,2178,817.23
25,YSR,Kadapa,14.4752936,78.8216861,2060654,11228,183.53
