,Date,Holiday
0,2019-01-15,Pongal
1,2019-01-16,Kanuma Panduga
2,2019-01-26,Republic Day
3,2019-02-18,Maha Shivaratri
4,2019-03-08,Holi
5,2019-03-22,Ugadi
6,2019-03-30,Ram Navami
7,2019-04-05,Babu Jagjivan Ram Jayanti
8,2019-04-07,Good Friday
9,2019-04-14,Dr Ambedkar Jayanti
10,2019-04-22,Idul Fitr
37,2019-05-01,May Day / Labour Day
11,2019-06-29,Bakrid /Eid al Adha
12,2019-07-29,Muharram
13,2019-08-15,Independence Day
14,2019-09-07,Janmashtami
15,2019-09-19,Ganesh Chaturthi
16,2019-09-28,Eid e Milad
17,2019-10-02,Gandhi Jayanti
18,2019-10-22,Maha Ashtami
19,2019-10-24,Vijaya Dashami
20,2019-11-12,Deepavali
21,2019-12-25,Christmas Day
0,2020-01-15,Pongal
1,2020-01-16,Kanuma Panduga
2,2020-01-26,Republic Day
3,2020-02-18,Maha Shivaratri
4,2020-03-08,Holi
5,2020-03-22,Ugadi
6,2020-03-30,Ram Navami
7,2020-04-05,Babu Jagjivan Ram Jayanti
8,2020-04-07,Good Friday
9,2020-04-14,Dr Ambedkar Jayanti
10,2020-04-22,Idul Fitr
37,2020-05-01,May Day / Labour Day
11,2020-06-29,Bakrid /Eid al Adha
12,2020-07-29,Muharram
13,2020-08-15,Independence Day
14,2020-09-07,Janmashtami
15,2020-09-19,Ganesh Chaturthi
16,2020-09-28,Eid e Milad
17,2020-10-02,Gandhi Jayanti
18,2020-10-22,Maha Ashtami
19,2020-10-24,Vijaya Dashami
20,2020-11-12,Deepavali
21,2020-12-25,Christmas Day
0,2021-01-15,Pongal
1,2021-01-16,Kanuma Panduga
2,2021-01-26,Republic Day
3,2021-02-18,Maha Shivaratri
4,2021-03-08,Holi
5,2021-03-22,Ugadi
6,2021-03-30,Ram Navami
7,2021-04-05,Babu Jagjivan Ram Jayanti
8,2021-04-07,Good Friday
9,2021-04-14,Dr Ambedkar Jayanti
10,2021-04-22,Idul Fitr
37,2021-05-01,May Day / Labour Day
11,2021-06-29,Bakrid /Eid al Adha
12,2021-07-29,Muharram
13,2021-08-15,Independence Day
14,2021-09-07,Janmashtami
15,2021-09-19,Ganesh Chaturthi
16,2021-09-28,Eid e Milad
17,2021-10-02,Gandhi Jayanti
18,2021-10-22,Maha Ashtami
19,2021-10-24,Vijaya Dashami
20,2021-11-12,Deepavali
21,2021-12-25,Christmas Day
0,2022-01-15,Pongal
1,2022-01-16,Kanuma Panduga
2,2022-01-26,Republic Day
3,2022-02-18,Maha Shivaratri
4,2022-03-08,Holi
5,2022-03-22,Ugadi
6,2022-03-30,Ram Navami
7,2022-04-05,Babu Jagjivan Ram Jayanti
8,2022-04-07,Good Friday
9,2022-04-14,Dr Ambedkar Jayanti
10,2022-04-22,Idul Fitr
37,2022-05-01,May Day / Labour Day
11,2022-06-29,Bakrid /Eid al Adha
12,2022-07-29,Muharram
13,2022-08-15,Independence Day
14,2022-09-07,Janmashtami
15,2022-09-19,Ganesh Chaturthi
16,2022-09-28,Eid e Milad
17,2022-10-02,Gandhi Jayanti
18,2022-10-22,Maha Ashtami
19,2022-10-24,Vijaya Dashami
20,2022-11-12,Deepavali
21,2022-12-25,Christmas Day
0,2023-01-15,Pongal
1,2023-01-16,Kanuma Panduga
2,2023-01-26,Republic Day
3,2023-02-18,Maha Shivaratri
4,2023-03-08,Holi
5,2023-03-22,Ugadi
6,2023-03-30,Ram Navami
7,2023-04-05,Babu Jagjivan Ram Jayanti
8,2023-04-07,Good Friday
9,2023-04-14,Dr Ambedkar Jayanti
10,2023-04-22,Idul Fitr
37,2023-05-01,May Day / Labour Day
11,2023-06-29,Bakrid /Eid al Adha
12,2023-07-29,Muharram
13,2023-08-15,Independence Day
14,2023-09-07,Janmashtami
15,2023-09-19,Ganesh Chaturthi
16,2023-09-28,Eid e Milad
17,2023-10-02,Gandhi Jayanti
18,2023-10-22,Maha Ashtami
19,2023-10-24,Vijaya Dashami
20,2023-11-12,Deepavali
21,2023-12-25,Christmas Day
